Title,"PostTrak
Film
Type","Release
Date",Genre,Rating,Dist,"Opening
Wknd
Gross","Opening
Day
Gross",Cume,"Locs
at
Opening","Locs
at
Widest
Release","Polling
Wk",Index,"Definitely
Recommend","Total
Polled","General
Total
;
How
would
you
rate
the
film?
1
-
Excellent"
Bombshell,General,12/13/2019,DRA,R,LGF,319157,136953,31762808,4,1721,1,77,62%,605,37%
Playmobil: The Movie,Family,12/6/2019,ANI,PG,STX,656530,174657,1115008,2337,2337,1,69,37%,475,31%
Queen & Slim,General,11/27/2019,DRA,R,UNI,11890490,1739550,43808310,1690,1715,1,85,71%,835,55%
Knives Out,General,11/27/2019,DRA,PG13,LGF,26769548,8473334,165363254,3391,3461,1,83,67%,829,50%
Frozen 2 (2019),Family,11/22/2019,ANI,PG,DIS,130263358,42205262,477373578,4440,4440,1,85,68%,1215,60%
"Beautiful Day In The Neighborhood, A",General,11/22/2019,DRA,PG,SNY,13251238,4545333,61704055,3235,3491,1,80,61%,817,43%
21 Bridges,General,11/22/2019,SUS,R,STX,9261268,3333513,28539757,2665,2665,1,77,52%,812,33%
Dark Waters,General,11/22/2019,DRA,PG13,FOC,102606,38324,11867634,4,2112,1,73,48%,584,27%
Ford v. Ferrari,General,11/15/2019,DRA,PG13,FOX,31474958,11011525,117624357,3528,3746,1,83,63%,806,48%
Charlie's Angels,General,11/15/2019,ACT,PG13,SNY,8351109,3149308,17803077,3452,3452,1,73,46%,800,28%
"Good Liar, The",General,11/15/2019,DRA,R,WB,5605051,1644452,17209763,2439,2454,1,73,42%,612,25%
Playing With Fire,Family,11/8/2019,COM,PG,PAR,12723781,3531477,44451847,3125,3185,1,72,37%,1209,34%
Last Christmas,General,11/8/2019,RCOM,PG13,UNI,11441055,4050750,35286920,3448,3454,1,74,50%,818,28%
Doctor Sleep,General,11/8/2019,SUS,R,WB,14114124,5221203,31604489,3855,3855,1,79,52%,806,38%
Midway,General,11/8/2019,ACT,PG13,LGF,17897419,6345369,56846802,3242,3242,1,80,58%,806,41%
Terminator: Dark Fate,General,11/1/2019,ACT,R,PAR,29033832,10551130,62253077,4086,4086,1,76,54%,811,34%
Harriet,General,11/1/2019,DRA,PG13,FOC,11676720,3894695,44015835,2059,2186,1,85,67%,810,55%
Arctic Dogs,Family,11/1/2019,ANI,PG,ESMP,2901335,686571,5801249,2844,2844,1,67,37%,632,22%
Motherless Brooklyn,General,11/1/2019,DRA,R,WB,3500454,1047322,9277736,1342,1342,1,73,44%,419,28%
Countdown (2019),General,10/25/2019,HOR,PG13,STX,8865082,3165278,25621766,2675,2675,1,69,42%,822,23%
Black And Blue,General,10/25/2019,SUS,R,SNY,8376846,3056269,22055313,2062,2062,1,77,54%,813,35%
"Current War, The - Director's Cut",General,10/25/2019,DRA,PG13,101S,2633717,950027,5979540,1022,1082,1,77,50%,408,34%
Western Stars,General,10/25/2019,DOC,PG,WB,560282,190121,1592533,537,553,1,76,47%,201,39%
Maleficent: Mistress Of Evil,Family,10/18/2019,ADV,PG,DIS,36948713,12551906,113929605,3790,3820,1,82,62%,1229,49%
Zombieland: Double Tap,General,10/18/2019,COM,R,SNY,26803104,10534700,73266775,3468,3468,1,80,61%,844,43%
Jojo Rabbit,General,10/18/2019,COM,PG13,FSL,349555,142110,33370906,5,1173,1,79,57%,462,43%
"Lighthouse, The (2019)",General,10/18/2019,DRA,R,A24,427797,170003,10867104,8,978,1,72,43%,323,30%
"Addams Family, The",Family,10/11/2019,ANI,PG,UAR,30300007,9716240,100723831,4007,4207,1,77,53%,1200,35%
Gemini Man,General,10/11/2019,ACT,PG13,PAR,20552372,7484424,48546770,3642,3642,1,77,52%,808,37%
Jexi,General,10/11/2019,COM,R,LGF,3106730,1140762,6546159,2332,2332,1,67,40%,519,27%
Parasite,General,10/11/2019,DRA,R,NEON,393216,128272,53369745,3,2001,1,82,57%,365,47%
Joker,General,10/4/2019,SUS,R,WB,96202337,39350693,335669224,4374,4374,1,82,64%,836,47%
Abominable (2019),Family,9/27/2019,ANI,PG,UNI,20612100,5654440,61752260,4242,4248,1,82,54%,1200,44%
Judy,General,9/27/2019,DRA,PG13,RSA,2916548,900327,24319961,461,1627,1,78,49%,555,40%
Downton Abbey,General,9/20/2019,DRA,PG,FOC,31033665,13828975,96853865,3079,3548,1,83,68%,832,53%
Rambo: Last Blood,General,9/20/2019,ACT,R,LGF,18872919,7170439,44819352,3618,3618,1,75,54%,816,38%
Ad Astra,General,9/20/2019,SCI,PG13,FOX,19001398,7148625,50188370,3460,3460,1,70,44%,802,23%
Hustlers,General,9/13/2019,DRA,R,STX,33181361,13099693,104963598,3250,3525,1,75,50%,801,32%
"Goldfinch, The",General,9/13/2019,DRA,R,WB,2679027,868127,5332621,2542,2542,1,69,38%,589,21%
IT Chapter Two,General,9/6/2019,HOR,R,WB,91062152,37043656,211868617,4570,4570,1,76,56%,820,36%
Don't Let Go,General,8/30/2019,SUS,R,OTL,2338669,760446,5217112,922,922,1,74,47%,547,30%
Bennett's War,General,8/30/2019,DRA,PG13,FORREST,430898,143675,1030734,970,970,1,72,38%,232,23%
Angel Has Fallen,General,8/23/2019,ACT,R,LGF,21380987,7958653,69030436,3286,3336,1,80,61%,800,41%
Overcomer (2019),Hybrid,8/23/2019,DRA,PG,SNY,8146533,3043455,34746945,1723,2293,1,85,62%,741,56%
Brittany Runs A Marathon,General,8/23/2019,COM,R,AMZN,180711,69321,7136343,5,1033,1,74,48%,267,28%
Ready Or Not,General,8/21/2019,HOR,R,FSL,8015590,1876458,28714231,2270,2957,1,74,51%,807,30%
Good Boys,General,8/16/2019,COM,R,UNI,21402605,8314980,83215075,3204,3458,1,81,62%,820,42%
47 Meters Down: Uncaged,General,8/16/2019,SUS,PG13,ESMP,8427265,3067463,22260900,2853,2883,1,71,44%,744,24%
Blinded By The Light,General,8/16/2019,COM,PG13,WB,4333305,1403136,11901145,2307,2307,1,82,61%,722,41%
Where'd You Go Bernadette,General,8/16/2019,COM,PG13,UAR,3462308,1228197,9198356,2404,2404,1,76,51%,712,32%
"Angry Birds Movie 2, The",Family,8/13/2019,ANI,PG,SNY,10354073,2603947,41667116,3869,3869,1,72,44%,1187,29%
Dora and the Lost City of Gold,Family,8/9/2019,FAM,PG,PAR,17431588,6463828,60477943,3735,3735,1,75,54%,1215,33%
"Art Of Racing In The Rain, The",Hybrid,8/9/2019,COM,PG,FOX,8137584,2971423,26402818,2765,2765,1,79,60%,1171,38%
"Kitchen, The (2019)",General,8/9/2019,DRA,R,WB,5527410,1776847,12180032,2745,2745,1,72,46%,822,23%
Scary Stories To Tell In The Dark,General,8/9/2019,SUS,PG13,LGF,20915346,8781643,68947075,3135,3135,1,72,51%,809,25%
Brian Banks,General,8/9/2019,DRA,PG13,BST,2156272,760933,4376820,1240,1240,1,81,61%,529,44%
"Peanut Butter Falcon, The",General,8/9/2019,COM,PG13,RSA,204793,69208,20457158,17,1490,1,79,55%,278,34%
Fast & Furious Presents: Hobbs & Shaw,Hybrid,8/2/2019,ACT,PG13,UNI,60038950,23605520,174081225,4253,4344,1,79,63%,1220,40%
Once Upon A Time In Hollywood,General,7/26/2019,DRA,R,SNY,41082018,16726119,142502728,3659,3659,1,80,58%,821,44%
"Lion King, The",Family,7/19/2019,ADV,PG,DIS,191770759,77930758,543638043,4725,4802,1,83,67%,1209,49%
Stuber,General,7/12/2019,COM,R,FOX,8225384,3105497,22370452,3050,3050,1,72,46%,805,28%
Crawl,General,7/12/2019,HOR,R,PAR,12005210,4353462,39014193,3170,3170,1,70,44%,801,27%
"Farewell, The",General,7/12/2019,COM,PG,A24,355662,112346,17700478,4,891,1,77,51%,174,28%
Midsommar,General,7/3/2019,HOR,R,A24,6560030,3007568,27426361,2585,2707,1,72,44%,905,30%
Spider-Man: Far From Home,Hybrid,7/2/2019,ACT,PG13,SNY,92579212,39255628,391325214,4634,4634,1,86,73%,1230,56%
Yesterday (2019),General,6/28/2019,COM,PG13,UNI,17010050,6049775,73286650,2603,2755,1,80,58%,805,45%
Annabelle Comes Home,General,6/26/2019,HOR,R,WB,20269723,7187174,74281715,3525,3613,1,67,42%,801,24%
Toy Story 4,Family,6/21/2019,ANI,G,DIS,120908065,47406956,434038008,4575,4575,1,88,75%,1243,62%
Child's Play,General,6/21/2019,HOR,R,UAR,14094594,6107709,29208403,3007,3007,1,67,42%,801,23%
Anna (2019),General,6/21/2019,ACT,R,LGF,3600647,1358919,7743794,2114,2114,1,71,44%,530,26%
Men In Black International,Hybrid,6/14/2019,SCI,PG13,SNY,30035838,10504864,80001807,4224,4224,1,75,49%,1204,33%
Shaft,General,6/14/2019,ACT,R,WB,8901419,2728728,21360215,2952,2952,1,78,56%,800,37%
"Secret Life Of Pets 2, The",Family,6/7/2019,ANI,PG,UNI,46652680,16339735,159214420,4561,4564,1,80,59%,1210,45%
Dark Phoenix,Hybrid,6/7/2019,ACT,PG13,FOX,32828348,14035959,65845974,3721,3721,1,68,43%,1208,30%
Late Night,General,6/7/2019,COM,R,AMZN,246305,90448,15500044,4,2220,1,75,48%,749,32%
Godzilla: King Of The Monsters (2019),Hybrid,5/31/2019,ACT,PG13,WB,47776293,19476894,110517194,4108,4108,1,80,62%,1210,45%
Rocketman,General,5/31/2019,DRA,R,PAR,25725722,9170655,96368160,3610,3610,1,81,60%,830,44%
Ma (2019),General,5/31/2019,HOR,R,UNI,18099805,7242140,45896030,2808,2816,1,70,42%,800,24%
Aladdin,Family,5/24/2019,ADV,PG,DIS,91500929,31358935,355559216,4476,4476,1,84,67%,1216,50%
Brightburn,General,5/24/2019,HOR,R,SNY,7845658,3000854,17300439,2607,2607,1,69,41%,827,24%
Booksmart,General,5/24/2019,COM,R,UAR,6933620,2479902,22680962,2505,2518,1,77,55%,826,38%
"Dog's Journey, A",Family,5/17/2019,FAM,PG,UNI,8030085,2521285,22782370,3267,3279,1,79,56%,1204,40%
John Wick: Chapter 3 - Parabellum (2019),General,5/17/2019,ACT,R,LGF,56818067,22636381,171015687,3850,3850,1,85,69%,804,51%
"Sun Is Also A Star, The",General,5/17/2019,DRA,PG13,WB,2511530,1037813,4950029,2073,2073,1,71,39%,740,27%
Pokemon Detective Pikachu,Family,5/10/2019,ADV,PG,WB,54365242,20575704,144223672,4202,4248,1,81,65%,1205,46%
"Hustle, The",General,5/10/2019,COM,PG13,UAR,13007709,3997560,35417038,3007,3077,1,70,41%,802,23%
Tolkien,General,5/10/2019,DRA,PG13,FSL,2200537,827108,4535154,1495,1501,1,77,52%,545,36%
Poms,General,5/10/2019,COM,PG13,STX,5361937,1497688,13631124,2750,2750,1,75,46%,533,30%
Uglydolls,Family,5/3/2019,ANI,PG,STX,8603407,2496875,20150241,3652,3652,1,65,34%,1024,13%
Long Shot (2019),General,5/3/2019,COM,R,LGF,9740064,3645044,30316271,3230,3230,1,75,54%,810,32%
"Intruder, The (2019)",General,5/3/2019,SUS,PG13,SNY,10855054,3940875,35419122,2222,2231,1,69,43%,808,24%
Avengers: Endgame,Hybrid,4/26/2019,ACT,PG13,DIS,357115007,157461641,858373000,4662,4662,1,90,82%,1204,68%
"Curse Of La Llorona, The",General,4/19/2019,HOR,R,WB,26347631,11919261,54855726,3372,3372,1,70,48%,862,29%
Penguins (Disneynature),Family,4/17/2019,DOC,G,DIS,2282593,500169,7699452,1815,1815,1,78,57%,1012,41%
Breakthrough,Hybrid,4/17/2019,DRA,PG,FOX,11282333,1888197,40713082,2764,2913,1,82,65%,936,47%
Missing Link,Family,4/12/2019,ANI,PG,UAR,5944950,1614134,16649539,3413,3437,1,75,45%,827,28%
Little,General,4/12/2019,COM,PG13,UNI,15405455,5376290,40860480,2667,2667,1,76,54%,810,33%
Hellboy,General,4/12/2019,ACT,R,LGF,12045147,4943668,21903748,3303,3303,1,66,41%,800,22%
After (2019),General,4/12/2019,DRA,PG13,AVI,6002349,2932423,12138565,2138,2138,1,69,46%,712,25%
Shazam!,Hybrid,4/5/2019,ACT,PG13,WB,53505326,20351441,140616813,4217,4306,1,79,60%,1216,40%
Pet Sematary,General,4/5/2019,HOR,R,PAR,24502775,9920210,54724696,3585,3585,1,70,46%,817,27%
"Best Of Enemies, The",General,4/5/2019,DRA,PG13,STX,4446190,1627520,10205616,1705,1705,1,80,64%,531,43%
Dumbo,Family,3/29/2019,FAM,PG,DIS,45990748,15254549,114766307,4259,4259,1,75,54%,1266,34%
Unplanned (2019),General,3/29/2019,DRA,R,PURE,6382298,2972788,19005109,1059,1516,1,82,64%,557,52%
"Beach Bum, The",General,3/29/2019,COM,R,NEON,1763070,690101,3502600,1100,1100,1,66,37%,415,23%
Us (2019),General,3/22/2019,SUS,R,UNI,71117625,28923540,175328970,3741,3743,1,78,59%,827,38%
Hotel Mumbai,General,3/22/2019,DRA,R,BST,88065,26564,9619500,4,930,1,77,50%,454,35%
Wonder Park,Family,3/15/2019,ANI,PG,PAR,15853646,5330263,45216793,3838,3838,1,75,45%,1146,31%
Five Feet Apart,General,3/15/2019,DRA,PG13,LGF,13190286,5405700,45729221,2803,2866,1,77,52%,812,37%
Captive State,General,3/15/2019,SUS,PG13,FOC,3131525,1266415,5958315,2548,2549,1,63,33%,757,20%
Captain Marvel,Hybrid,3/8/2019,ACT,PG13,DIS,153433423,61715051,426829839,4310,4310,1,81,66%,1267,49%
Gloria Bell,General,3/8/2019,DRA,R,A24,145218,42032,5611123,5,1127,1,64,24%,193,11%
Tyler Perry's A Madea Family Funeral,General,3/1/2019,COM,PG13,LGF,27062332,9200824,73257045,2442,2442,1,80,62%,828,44%
Greta (2019),General,3/1/2019,DRA,R,FOC,4481910,1603595,10544310,2411,2417,1,67,37%,800,24%
How To Train Your Dragon: The Hidden World,Family,2/22/2019,ANI,PG,UNI,55022245,17376690,161118155,4259,4286,1,89,75%,1204,65%
Run The Race,General,2/22/2019,DRA,PG,RSA,2161480,760168,6424420,853,1075,1,86,73%,339,58%
Alita: Battle Angel,Hybrid,2/14/2019,ACT,PG13,FOX,28525613,8716232,85710210,3790,3802,1,78,58%,1286,41%
Fighting With My Family,General,2/14/2019,DRA,PG13,MGM,138780,34274,22958583,4,2855,1,80,57%,813,40%
Isn't It Romantic,General,2/13/2019,RCOM,PG13,WB,14247758,1825164,48791187,3444,3444,1,72,46%,809,31%
Happy Death Day 2U,General,2/13/2019,HOR,PG13,UNI,9497665,980110,28148130,3207,3212,1,70,42%,805,25%
"Lego Movie 2: The Second Part, The",Family,2/8/2019,ANI,PG,WB,34115335,8461120,105956290,4303,4303,1,80,57%,1227,43%
What Men Want,General,2/8/2019,RCOM,R,PAR,18232087,6590556,54611903,2912,2912,1,80,63%,823,45%
"Prodigy, The",General,2/8/2019,HOR,R,ORI,5853061,2030705,14856291,2530,2530,1,69,41%,822,23%
Cold Pursuit,General,2/8/2019,ACT,R,LGF,11030233,3649657,32138862,2630,2630,1,70,39%,814,24%
Miss Bala,General,2/1/2019,ACT,PG13,SNY,6864744,2754673,15006824,2203,2203,1,75,50%,836,33%
"Kid Who Would Be King, The",Family,1/25/2019,ADV,PG,FOX,7173887,1702409,16790790,3521,3528,1,73,46%,880,24%
Serenity,General,1/25/2019,SUS,R,AVI,4415403,1595951,8547045,2561,2561,1,64,37%,800,23%
Glass,General,1/18/2019,SUS,PG13,UNI,40328920,15886745,111048470,3841,3844,1,73,49%,827,35%
Dragon Ball Super: Broly,Hybrid,1/16/2019,ANI,NR,CRUNCHY,9816197,7067165,28222277,1250,1250,1,88,77%,1203,62%
"Dog's Way Home, A",Family,1/11/2019,FAM,PG,SNY,11251263,3268436,42004346,3090,3090,1,77,50%,1227,35%
"Upside, The",General,1/11/2019,COM,PG13,STX,20355000,6928354,108252517,3080,3568,1,81,61%,809,46%
Replicas,General,1/11/2019,SCI,PG13,ESMP,2375325,933517,4046429,2329,2329,1,66,38%,526,25%
Escape Room,General,1/4/2019,HOR,PG13,SNY,18238172,7615748,57005601,2717,2717,1,74,50%,853,31%
